#   
#   The 1931 CMFs
#
#   ASTM E 308 - 01
#   Standard Practice for Computing the Colors of Objects by Using the CIE System
#   Table 1   380 to 780 at 5nm intervals
#   except near the ends replaced with higher precision data from CIE, for better plots

Wavelength x y z
380 0.001368000000 0.000039000000 0.006450001000
385 0.002236000000 0.000064000000 0.010549990000
390 0.004243000000 0.000120000000 0.020050010000
395 0.007650000000 0.000217000000 0.036210000000
400 0.014310000000 0.000396000000 0.067850010000
405 0.023190000000 0.000640000000 0.110200000000
410 0.043510000000 0.001210000000 0.207400000000
415 0.077630000000 0.002180000000 0.371300000000
420 0.134380000000 0.004000000000 0.645600000000
425 0.214770000000 0.007300000000 1.039050100000
430 0.283900000000 0.011600000000 1.385600000000
435 0.328500000000 0.016840000000 1.622960000000
440 0.348280000000 0.023000000000 1.747060000000
445 0.348060000000 0.029800000000 1.782600000000
450 0.336200000000 0.038000000000 1.772110000000
455 0.3187 0.0480 1.7441
460 0.2908 0.0600 1.6692
465 0.2511 0.0739 1.5281
470 0.1954 0.0910 1.2876
475 0.1421 0.1126 1.0419
480 0.0956 0.1390 0.8130
485 0.0580 0.1693 0.6162
490 0.0320 0.2080 0.4652
495 0.0147 0.2586 0.3533
500 0.0049 0.3230 0.2720
505 0.0024 0.4073 0.2123
510 0.0093 0.5030 0.1582
515 0.0291 0.6082 0.1117
520 0.0633 0.7100 0.0782
525 0.1096 0.7932 0.0573
530 0.1655 0.8620 0.0422
535 0.2257 0.9149 0.0298
540 0.2904 0.9540 0.0203
545 0.3597 0.9803 0.0134
550 0.4334 0.9950 0.0087
555 0.5121 1.0000 0.0057
560 0.5945 0.9950 0.0039
565 0.6784 0.9786 0.0027
570 0.7621 0.9520 0.0021
575 0.8425 0.9154 0.0018
580 0.9163 0.8700 0.0017
585 0.9786 0.8163 0.0014
590 1.0263 0.7570 0.0011
595 1.0567 0.6949 0.0010
600 1.0622 0.6310 0.0008
605 1.0456 0.5668 0.0006
610 1.0026 0.5030 0.0003
615 0.9384 0.4412 0.0002
620 0.8544 0.3810 0.0002
625 0.7514 0.3210 0.0001
630 0.6424 0.2650 0.0000
635 0.5419 0.2170 0.0000
640 0.4479 0.1750 0.0000
645 0.3608 0.1382 0.0000
650 0.2835 0.1070 0.0000
655 0.2187 0.0816 0.0000
660 0.1649 0.0610 0.0000
665 0.1212 0.0446 0.0000
670 0.0874 0.0320 0.0000
675 0.0636 0.0232 0.0000
680 0.0468 0.0170 0.0000
685 0.0329 0.0119 0.0000
690 0.0227 0.0082 0.0000
695 0.0158 0.0057 0.0000
700 0.011359160000 0.004102000000 0.000000000000
705 0.008110916000 0.002929000000 0.000000000000
710 0.005790346000 0.002091000000 0.000000000000
715 0.004109457000 0.001484000000 0.000000000000
720 0.002899327000 0.001047000000 0.000000000000
725 0.002049190000 0.000740000000 0.000000000000
730 0.001439971000 0.000520000000 0.000000000000
735 0.000999949300 0.000361100000 0.000000000000
740 0.000690078600 0.000249200000 0.000000000000
745 0.000476021300 0.000171900000 0.000000000000
750 0.000332301100 0.000120000000 0.000000000000
755 0.000234826100 0.000084800000 0.000000000000
760 0.000166150500 0.000060000000 0.000000000000
765 0.000117413000 0.000042400000 0.000000000000
770 0.000083075270 0.000030000000 0.000000000000
775 0.000058706520 0.000021200000 0.000000000000
780 0.000041509940 0.000014990000 0.000000000000
