#   
#   CIE Illuminants  A, C, D50, D55, D65, D75
#   380 to 780 at 5nm intervals
#
#   ASTM E 308 - 01
#   Standard Practice for Computing the Colors of Objects by Using the CIE System
#   Table 3

Wavelength A C D50 D55 D65 D75
380 9.80 33.00 24.49 32.58 49.98 66.70
385 10.90 39.92 27.18 35.34 52.31 68.33
390 12.09 47.40 29.87 38.09 54.65 69.96
395 13.35 55.17 39.59 49.52 68.70 85.95
400 14.71 63.30 49.31 60.95 82.75 101.93
405 16.15 71.81 52.91 64.75 87.12 106.91
410 17.68 80.60 56.51 68.55 91.49 111.89
415 19.29 89.53 58.27 70.07 92.46 112.35
420 20.99 98.10 60.03 71.58 93.43 112.80
425 22.79 105.80 58.93 69.75 90.06 107.94
430 24.67 112.40 57.82 67.91 86.68 103.09
435 26.64 117.75 66.32 76.76 95.77 112.14
440 28.70 121.50 74.82 85.61 104.86 121.20
445 30.85 123.45 81.04 91.80 110.94 127.10
450 33.09 124.00 87.25 97.99 117.01 133.01
455 35.41 123.60 88.93 99.23 117.41 132.68
460 37.81 123.10 90.61 100.46 117.81 132.36
465 40.30 123.30 90.99 100.19 116.34 129.84
470 42.87 123.80 91.37 99.91 114.86 127.32
475 45.52 124.09 93.24 101.33 115.39 127.06
480 48.24 123.90 95.11 102.74 115.92 126.80
485 51.04 122.92 93.54 100.41 112.37 122.29
490 53.91 120.70 91.96 98.08 108.81 117.78
495 56.85 116.90 93.84 99.38 109.08 117.19
500 59.86 112.10 95.72 100.68 109.35 116.59
505 62.93 106.98 96.17 100.69 108.58 115.15
510 66.06 102.30 96.61 100.70 107.80 113.70
515 69.25 98.81 96.87 100.34 106.30 111.18
520 72.50 96.90 97.13 99.99 104.79 108.56
525 75.79 96.78 99.61 102.10 106.24 109.55
530 79.13 98.00 102.10 104.21 107.69 110.44
535 82.52 99.94 101.43 103.16 106.05 108.37
540 85.95 102.10 100.75 102.10 104.41 106.29
545 89.41 103.95 101.54 102.53 104.23 105.60
550 92.91 105.20 102.32 102.97 104.05 104.90
555 96.44 105.67 101.16 101.48 102.02 102.45
560 100.00 105.30 100.00 100.00 100.00 100.00
565 103.58 104.11 98.87 98.61 98.17 97.81
570 107.18 102.30 97.74 97.22 96.33 95.62
575 110.80 100.15 98.33 97.48 96.06 94.91
580 114.44 97.80 98.92 97.75 95.79 94.21
585 118.08 95.43 96.21 94.59 92.24 90.60
590 121.73 93.20 93.50 91.43 88.69 87.00
595 125.39 91.22 95.59 92.93 89.35 87.11
600 129.04 89.70 97.69 94.42 90.01 87.23
605 132.70 88.83 98.48 94.78 89.80 86.68
610 136.35 88.40 99.27 95.14 89.60 86.14
615 139.99 88.19 99.16 94.68 88.65 84.86
620 143.62 88.10 99.04 94.22 87.70 83.58
625 147.24 88.06 97.38 92.33 85.49 81.16
630 150.84 88.00 95.72 90.45 83.29 78.75
635 154.42 87.86 97.29 91.39 83.49 78.59
640 157.98 87.80 98.86 92.33 83.70 78.43
645 161.52 87.99 97.26 90.59 81.86 76.61
650 165.03 88.20 95.67 88.85 80.03 74.80
655 168.51 88.20 96.93 89.59 80.12 74.56
660 171.96 87.90 98.19 90.32 80.21 74.32
665 175.38 87.22 100.60 92.13 81.25 74.87
670 178.77 86.30 103.00 93.95 82.28 75.42
675 182.12 85.30 101.07 91.95 80.28 73.50
680 185.43 84.00 99.13 89.96 78.28 71.58
685 188.70 82.21 93.26 84.82 74.00 67.71
690 191.93 80.20 87.38 79.68 69.72 63.85
695 195.12 78.24 89.49 81.26 70.67 64.46
700 198.26 76.30 91.60 82.84 71.61 65.08
705 201.36 74.36 92.25 83.84 72.98 66.57
710 204.41 72.40 92.89 84.84 74.35 68.07
715 207.41 70.40 84.87 77.54 67.98 62.26
720 210.36 68.30 76.85 70.24 61.60 56.44
725 213.27 66.30 81.68 74.77 65.74 60.34
730 216.12 64.40 86.51 79.30 69.89 64.24
735 218.92 62.80 89.55 82.15 72.49 66.70
740 221.67 61.50 92.58 84.99 75.09 69.15
745 224.36 60.20 85.40 78.44 69.34 63.89
750 227.00 59.20 78.23 71.88 63.59 58.63
755 229.59 58.50 67.96 62.34 55.01 50.62
760 232.12 58.10 57.69 52.79 46.42 42.62
765 234.59 58.00 70.31 64.36 56.61 51.98
770 237.01 58.20 82.92 75.93 66.81 61.35
775 239.37 58.50 80.60 73.87 65.09 59.84
780 241.68 59.10 78.27 71.82 63.38 58.32
