#
#   Judd, Deane B. and Gunter Wyszecki
#   Extension of the Munsell Renotation System to Very Dark Colors
#   Journal of the Optical Society of America
#   Vol. 46.  No. 4.  pp. 281-284
#   April 1956.
#
#   These tables have Values 0.2, 0.4, 0.6, and 0.8.
#   Chromas 1 and 3 from the above paper are omitted; they are odd and are not compatible with Values >= 1
#   The number of rows here is 355.
#   The data here was extracted from the file all.dat; see ReadMe.txt

        H          V         C         x         y       Y
      10B        0.6         2     0.209     0.227   0.699
      10B        0.6         4     0.153     0.172   0.699
      10B        0.6         6     0.115     0.128   0.699
    2.5PB        0.6         2     0.215     0.221   0.699
    2.5PB        0.6         4     0.166     0.165   0.699
    2.5PB        0.6         6     0.131     0.122   0.699
      5PB        0.6         2     0.223     0.215   0.699
      5PB        0.6         4     0.182      0.16   0.699
      5PB        0.6         6     0.152     0.118   0.699
      5PB        0.6         8     0.131     0.088   0.699
    7.5PB        0.6         2     0.239     0.208   0.699
    7.5PB        0.6         4     0.208     0.155   0.699
    7.5PB        0.6         6     0.188     0.117   0.699
    7.5PB        0.6         8     0.176     0.092   0.699
     10PB        0.6         2     0.257     0.204   0.699
     10PB        0.6         4     0.237     0.157   0.699
     10PB        0.6         6     0.225     0.124   0.699
     10PB        0.6         8     0.216     0.098   0.699
     2.5P        0.6         2     0.272     0.205   0.699
     2.5P        0.6         4     0.258      0.16   0.699
     2.5P        0.6         6      0.25     0.129   0.699
     2.5P        0.6         8     0.244     0.104   0.699
       5P        0.6         2     0.287     0.207   0.699
       5P        0.6         4      0.28     0.166   0.699
       5P        0.6         6     0.274     0.136   0.699
       5P        0.6         8      0.27      0.11   0.699
     7.5P        0.6         2     0.301     0.211   0.699
     7.5P        0.6         4     0.296      0.17   0.699
     7.5P        0.6         6     0.292     0.141   0.699
     7.5P        0.6         8     0.288     0.115   0.699
      10P        0.6         2     0.311     0.214   0.699
      10P        0.6         4     0.308     0.174   0.699
      10P        0.6         6     0.306     0.145   0.699
      10P        0.6         8     0.304     0.119   0.699
    2.5RP        0.6         2     0.322     0.218   0.699
    2.5RP        0.6         4     0.324     0.179   0.699
    2.5RP        0.6         6     0.325     0.151   0.699
    2.5RP        0.6         8     0.326     0.125   0.699
      5RP        0.6         2     0.337     0.226   0.699
      5RP        0.6         4     0.347     0.189   0.699
      5RP        0.6         6     0.354     0.159   0.699
      5RP        0.6         8     0.359     0.135   0.699
    7.5RP        0.6         2     0.355     0.236   0.699
    7.5RP        0.6         4     0.373       0.2   0.699
    7.5RP        0.6         6     0.387      0.17   0.699
    7.5RP        0.6         8     0.397     0.146   0.699
     10RP        0.6         2     0.372     0.247   0.699
     10RP        0.6         4     0.399     0.211   0.699
     10RP        0.6         6     0.419     0.182   0.699
     10RP        0.6         8     0.434     0.158   0.699

##########################################################
     2.5R        0.8         2     0.381     0.272   0.943
     2.5R        0.8         4     0.421     0.245   0.943
     2.5R        0.8         6     0.455     0.219   0.943
     2.5R        0.8         8     0.483     0.195   0.943
       5R        0.8         2     0.399     0.286   0.943
       5R        0.8         4      0.45     0.261   0.943
       5R        0.8         6     0.496     0.237   0.943
       5R        0.8         8     0.536     0.214   0.943
     7.5R        0.8         2     0.411     0.297   0.943
     7.5R        0.8         4     0.477     0.276   0.943
     7.5R        0.8         6     0.534     0.255   0.943
     7.5R        0.8         8     0.584     0.234   0.943
      10R        0.8         2     0.423     0.309   0.943
      10R        0.8         4     0.508     0.296   0.943
      10R        0.8         6     0.578      0.28   0.943
      10R        0.8         8     0.635     0.259   0.943
    2.5YR        0.8         2     0.445     0.333   0.943
    2.5YR        0.8         4     0.558      0.33   0.943
    2.5YR        0.8         6     0.637      0.32   0.943
      5YR        0.8         2     0.463     0.361   0.943
      5YR        0.8         4     0.612     0.376   0.943
    7.5YR        0.8         2     0.475     0.386   0.943
     10YR        0.8         2     0.481     0.411   0.943
     2.5Y        0.8         2     0.479     0.439   0.943
       5Y        0.8         2     0.465     0.457   0.943
     7.5Y        0.8         2     0.434      0.46   0.943
      10Y        0.8         2     0.397     0.448   0.943
    2.5GY        0.8         2     0.363     0.425   0.943
      5GY        0.8         2     0.336      0.41   0.943
    7.5GY        0.8         2     0.314     0.394   0.943
    7.5GY        0.8         4     0.305     0.613   0.943
     10GY        0.8         2     0.298     0.381   0.943
     10GY        0.8         4     0.254     0.537   0.943
     10GY        0.8         6      0.15     0.791   0.943
     2.5G        0.8         2     0.287     0.371   0.943
     2.5G        0.8         4     0.225     0.488   0.943
     2.5G        0.8         6     0.102      0.66   0.943
       5G        0.8         2      0.28     0.363   0.943
       5G        0.8         4     0.205     0.447   0.943
       5G        0.8         6     0.082     0.553   0.943
     7.5G        0.8         2     0.272     0.355   0.943
     7.5G        0.8         4     0.191     0.414   0.943
     7.5G        0.8         6     0.073     0.476   0.943
      10G        0.8         2     0.265     0.346   0.943
      10G        0.8         4     0.178     0.382   0.943
      10G        0.8         6      0.07     0.408   0.943
    2.5BG        0.8         2     0.253     0.332   0.943
    2.5BG        0.8         4     0.163     0.342   0.943
    2.5BG        0.8         6      0.07     0.341   0.943
      5BG        0.8         2     0.241     0.315   0.943
      5BG        0.8         4      0.15     0.299   0.943
      5BG        0.8         6     0.072     0.275   0.943
    7.5BG        0.8         2      0.23     0.296   0.943
    7.5BG        0.8         4     0.145     0.264   0.943
    7.5BG        0.8         6     0.077     0.233   0.943
     10BG        0.8         2     0.223      0.28   0.943
     10BG        0.8         4     0.146     0.237   0.943
     10BG        0.8         6     0.086     0.199   0.943
     2.5B        0.8         2      0.22     0.271   0.943
     2.5B        0.8         4     0.149     0.222   0.943
     2.5B        0.8         6     0.094     0.181   0.943
       5B        0.8         2     0.218     0.258   0.943
       5B        0.8         4     0.154     0.207   0.943
       5B        0.8         6     0.106     0.163   0.943
     7.5B        0.8         2      0.22     0.249   0.943
     7.5B        0.8         4      0.16     0.196   0.943
     7.5B        0.8         6     0.115     0.153   0.943
      10B        0.8         2     0.222     0.241   0.943
      10B        0.8         4     0.168     0.187   0.943
      10B        0.8         6     0.128     0.145   0.943
    2.5PB        0.8         2     0.225     0.234   0.943
    2.5PB        0.8         4     0.178     0.181   0.943
    2.5PB        0.8         6     0.142     0.138   0.943
    2.5PB        0.8         8     0.117     0.105   0.943
      5PB        0.8         2     0.234     0.226   0.943
      5PB        0.8         4     0.192     0.174   0.943
      5PB        0.8         6      0.16     0.132   0.943
      5PB        0.8         8     0.139     0.102   0.943
    7.5PB        0.8         2     0.247     0.221   0.943
    7.5PB        0.8         4     0.216      0.17   0.943
    7.5PB        0.8         6     0.194     0.131   0.943
    7.5PB        0.8         8     0.179     0.104   0.943
     10PB        0.8         2     0.263     0.219   0.943
     10PB        0.8         4     0.242      0.17   0.943
     10PB        0.8         6     0.229     0.137   0.943
     10PB        0.8         8      0.22     0.112   0.943
     2.5P        0.8         2     0.277      0.22   0.943
     2.5P        0.8         4     0.264     0.174   0.943
     2.5P        0.8         6     0.255     0.144   0.943
     2.5P        0.8         8     0.248      0.12   0.943
       5P        0.8         2     0.292     0.224   0.943
       5P        0.8         4     0.283     0.179   0.943
       5P        0.8         6     0.279     0.151   0.943
       5P        0.8         8     0.275     0.127   0.943
     7.5P        0.8         2     0.304     0.228   0.943
     7.5P        0.8         4     0.298     0.184   0.943
     7.5P        0.8         6     0.294     0.156   0.943
     7.5P        0.8         8     0.291     0.132   0.943
      10P        0.8         2     0.312     0.232   0.943
      10P        0.8         4      0.31     0.189   0.943
      10P        0.8         6     0.309     0.162   0.943
      10P        0.8         8     0.308     0.137   0.943
    2.5RP        0.8         2     0.322     0.236   0.943
    2.5RP        0.8         4     0.326     0.195   0.943
    2.5RP        0.8         6     0.328     0.168   0.943
    2.5RP        0.8         8     0.329     0.144   0.943
      5RP        0.8         2     0.336     0.243   0.943
      5RP        0.8         4     0.347     0.206   0.943
      5RP        0.8         6     0.355     0.179   0.943
      5RP        0.8         8     0.362     0.154   0.943
    7.5RP        0.8         2      0.35     0.251   0.943
    7.5RP        0.8         4     0.369     0.217   0.943
    7.5RP        0.8         6     0.384      0.19   0.943
    7.5RP        0.8         8     0.397     0.165   0.943
     10RP        0.8         2     0.365     0.261   0.943
     10RP        0.8         4     0.393      0.23   0.943
     10RP        0.8         6     0.415     0.203   0.943
     10RP        0.8         8     0.435     0.177   0.943
