#
#   The ISCC-NBS System is a tiling of the Munsell Space. into 267 color blocks.
#   For these purposes, there is no attempt to locate the MacAdam Boundary (aka optimal colors);
#   the space is only limited by 0 <= Value <= 10.  Some blocks are semi-infinite.
#   Each block is a union of elementary blocks, where an elementary block is defined
#   by its minimum and maximum limits in Hue, Value, and Chroma.
#   Some blocks are non-convex and can be partitioned into elementary blocks in many ways,
#   but still define the same block.
#   There are 932 elementary blocks in this file.
#
#   The blocks are defined in:
#
#       Color : Universal Language and Dictionary of Names
#       ISCC-NBS Method of Designating Colors and a Dictionary of Color Names
#       Kelly, Kenneth Low, 1910-
#       Judd, Deane Brewster, 1900-1972
#       NBS Special Publication 440
#       December 1976 
#       Section 13: Color Name Charts, pp. 16-31
#
#   Electronic versions of this publication are available at:
#       https://archive.org/details/coloruniversalla00kell
#
#   The numerical hues below are from ASTM D1535, except they are are wrapped
#   to the interval [1,101) instead of (0,100].  The reason is that the last chart
#   is for the hue interval from 99 to 101.
#
#   The Value interval is [0,10].  Value=0 is included in these charts.
#   The Chroma interval is [0,Inf).  Some elementary blocks are infinite on the right.
#
#   Each row in the table below defines an elementary block.  The columns are:
#
#   HueInterval     interval of hues in the hue chart defining the elementary block
#   Hmin            minimum ASTM D1535 Hue for the elementary block
#   Hmax            maximum ASTM D1535 Hue for the elementary block
#   Vmin            minimum Value for the elementary block
#   Vmax            maximum Value for the elementary block
#   Cmin            minimum Chroma for the elementary block
#   Cmax            maximum Chroma for the elementary block. Cmax=Inf for some elementary blocks.
#   Number          color number of the elementary block, from 1 to 267
#
#   The names of the color blocks are in the file: Centrals_ISCC-NBS.txt
#
#   Some optimization is possible here.
#   The colors black (267) and dark gray (266) are the union of 31 elementary blocks,
#   but each one could be simplified to a single elementary block, with hue from 1 to 101.
#   This would reduce the elementary blocks by 60, from 932 to 872.
#   Similarly each of the 3 neutrals 265, 264, 263 could be simplified from 31 to 2 elementary blocks.
#
#   Glenn Davis  <gdavis@gluonics.com>

HueInterval	Hmin	Hmax	Vmin	Vmax	Cmin	Cmax	Number
1R-4R	1	4	8.5	10	0	0.5	263
1R-4R	1	4	6.5	8.5	0	0.5	264
1R-4R	1	4	4.5	6.5	0	0.5	265
1R-4R	1	4	2.5	4.5	0	0.5	266
1R-4R	1	4	0	2.5	0	0.5	267
1R-4R	1	4	8.5	10	0.5	1.5	9
1R-4R	1	4	6.5	8.5	0.5	1.5	10
1R-4R	1	4	4.5	6.5	0.5	1.5	22
1R-4R	1	4	2.5	4.5	0.5	1.5	23
1R-4R	1	4	2	3.5	1.5	3	20
1R-4R	1	4	2	2.5	0.5	1.5	20
1R-4R	1	4	0	2	0.5	1	24
1R-4R	1	4	0	2	1	2	21
1R-4R	1	4	0	2	2	7	17
1R-4R	1	4	2	3.5	3	9	16
1R-4R	1	4	3.5	5.5	1.5	7	19
1R-4R	1	4	3.5	5.5	7	11	15
1R-4R	1	4	3.5	5.5	11	13	12
1R-4R	1	4	0	3.5	11	Inf	11
1R-4R	1	4	3.5	5.5	13	Inf	11
1R-4R	1	4	5.5	6.5	15	Inf	11
1R-4R	1	4	5.5	6.5	7	15	3
1R-4R	1	4	5.5	6.5	5	7	6
1R-4R	1	4	5.5	6.5	1.5	5	18
1R-4R	1	4	6.5	8	3	7	5
1R-4R	1	4	6.5	10	7	11	2
1R-4R	1	4	6.5	10	11	Inf	1
1R-4R	1	4	2	3.5	9	11	13
1R-4R	1	4	0	2	7	11	14
1R-4R	1	4	6.5	8	1.5	3	8
1R-4R	1	4	8	10	1.5	3	7
1R-4R	1	4	8	10	3	7	4
4R-6R	4	6	8.5	10	0	0.5	263
4R-6R	4	6	6.5	8.5	0	0.5	264
4R-6R	4	6	4.5	6.5	0	0.5	265
4R-6R	4	6	2.5	4.5	0	0.5	266
4R-6R	4	6	0	2.5	0	0.5	267
4R-6R	4	6	8.5	10	0.5	1.5	9
4R-6R	4	6	6.5	8.5	0.5	1.5	10
4R-6R	4	6	4.5	6.5	0.5	1.5	22
4R-6R	4	6	2.5	4.5	0.5	1.5	23
4R-6R	4	6	2	3.5	1.5	3	20
