
#   Bioform shade-guide colors

#   Biomaterials Properties Database, University of Michigan 

#   W.J. O'Brien, C.L. Groh, K.M. Boenke
#   A one-dimensional color order system for dental shade guides
#   Dental Materials
#   November 1989

Y	x	y	L	a	b	Munsell
B-96	37.05	0.3610	0.3641	67.34	1.31	19.93	1.9Y 6.55/2.9
B-84	37.98	0.3663	0.3653	68.01	2.74	21.21	0.9Y 6.65/3.2
B-85	38.24	0.3811	0.3794	68.23	2.91	27.38	1.8Y 6.65/4.1
B-81	38.82	0.3588	0.3616	68.65	1.43	19.24	1.5Y 6.60/2.8
B-95	41.22	0.3502	0.3570	70.36	0.03	17.07	2.6Y 6.85/2.4
B-94	42.30	0.3548	0.3627	71.11	-0.32	19.48	3.0Y 6.95/2.7
B-69	42.49	0.3545	0.3614	71.24	0.03	19.11	2.6Y 6.95/2.6
B-83	43.25	0.3693	0.3701	71.52	2.25	23.94	1.3Y 7.00/3.6
B-77	44.09	0.3572	0.3628	72.32	0.50	20.16	2.3Y 7.05/2.8
B-93	45.01	0.3526	0.3584	72.93	0.40	18.34	2.2Y 7.15/2.6
B-67	46.26	0.3614	0.3681	73.74	0.14	22.66	2.5Y 7.20/3.2
B-55	47.10	0.3558	0.3639	74.28	-0.39	20.69	2.9Y 7.30/2.9
B-56	47.80	0.3581	0.3633	74.73	0.66	21.00	2.0Y 7.30/2.9
B-92	48.67	0.3429	0.3514	75.28	-0.66	15.27	3.0Y 7.35/2.0
B-65	49.14	0.3606	0.3629	75.57	1.73	21.48	1.1Y 7.30/3.1
B-54	49.15	0.3532	0.3589	75.58	0.46	19.13	2.0Y 7.40/2.7
B-53	49.39	0.3499	0.3559	75.72	0.33	17.76	2.1Y 7.40/2.5
B-91	49.57	0.3406	0.3484	75.84	-0.42	14.14	2.4Y 7.45/1.9
B-62	49.92	0.3454	0.3539	76.05	-0.64	16.53	3.1Y 7.45/2.3
B-63	50.00	0.3548	0.3594	76.10	0.87	19.64	1.7Y 7.45/2.8
B-52	50.42	0.3451	0.3553	76.36	-1.28	16.94	3.6Y 7.50/2.1
B-66	51.21	0.3534	0.3615	76.84	-0.42	20.18	2.8Y 7.55/2.8
B-51	55.24	0.3432	0.3525	79.21	-0.99	16.31	3.2Y 7.80/2.2
B-59	55.72	0.3407	0.3502	79.49	-1.10	15.26	3.5Y 7.80/2.0
